Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
0,0.8604793472718001,0.9230180593816958,0.38046165005126165,0.2281439408296492
1,0.9365629780724121,0.9478114478114478,0.18379267780520447,0.14851215409978133
2,0.9514023457419684,0.953168044077135,0.14112450950892969,0.1362837733291998
3,0.9575216726160123,0.9542393633302724,0.122965908597936,0.12443976640792155
4,0.9639469658337583,0.9602081420263239,0.10571224264250567,0.11241727013640651
5,0.9660377358490566,0.9510254055708601,0.09467457794488619,0.14928486894975165
6,0.9706782253952065,0.950719314355678,0.08310458492897876,0.15695092137675823
7,0.9711881693013769,0.916131007040098,0.07804423537797357,0.2526288511276972
8,0.9753187149413565,0.9540863177226814,0.0698837127096322,0.15319999431078207
9,0.9771035186129525,0.9623507805325987,0.06592399355207933,0.11797973471920846
10,0.9805201427842938,0.9602081420263239,0.05513169807976349,0.15109931120859096
11,0.9783783783783784,0.9643403734312825,0.06110698583427221,0.12554012491245664
