Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
0,0.8696583375828659,0.756351392715029,0.36921154974456905,0.7851451232665922
1,0.9326364099949006,0.9401591674318948,0.19469814367142627,0.17842013487910352
2,0.9432432432432433,0.94092439546985,0.16214874660562828,0.17033743738401227
3,0.950841407445181,0.95821854912764,0.1405874696464489,0.11707498553413444
4,0.957113717491076,0.9562289562289562,0.12440223802112006,0.1236625915711246
5,0.9595614482406936,0.953014998469544,0.11719591285331482,0.12969472864415588
6,0.9629780724120347,0.9501071319253137,0.1033022400921554,0.13834507805181712
